rut,primer_nombre,segundo_nombre,apellido_paterno,apellido_materno,telefono,email,direccion,edad,presupuesto
19056987-1,Ana,María,Sepulveda,Vargas,930456789,amsepulveda@gmail.com,"La coruña 1720, Santiago",20,5000000
18123456-0,Carmen,Macarena,González,Arellano,930998877,cmgonzalez@gmail.com,"Natanael cox 990, Santiago",22,2000000
23020318-4,Pamela,Javiera,Acosta,Barahona,930554433,pjacosta@gmail.com,"San Diego 695, Santiago",17,7000000
18142304-8,Bastián,Sebastián,Ortiz,Torres,957878363,bastian.ortiz4@hotmail.com,"Los Aromos 2504, San Pedro de la Paz",35,5300000
24852439-1,Valentina,Catalina,Fuentes,Pizarro,924186462,valentina.fuentes5@hotmail.com,"Los Notros 1934, Chiguayante",43,3400000
24650860-7,Nicolás,Paz,Pérez,Aguilera,978301364,nicolas.perez6@hotmail.com,"Barros Arana 586, San Pedro de la Paz",16,4100000
21332667-8,Josefa,Eduardo,Ortiz,Molina,936343073,josefa.ortiz7@uandresbello.edu,"Janequeo 3551, Chiguayante",41,3500000
20345852-5,Martina,,Contreras,Saavedra,972044632,martina.contreras8@uandresbello.edu,"Eyzaguirre 3964, Chiguayante",45,1500000
18054306-6,Agustín,Isabel,Contreras,Flores,922032279,agustin.contreras9@uandresbello.edu,"Lincoyán 3134, Talcahuano",62,4900000
25117171-8,Antonia,Esteban,Tapia,Araya,920494827,antonia.tapia10@hotmail.com,"Avenida Colón 468, Chiguayante",62,900000
20315007-5,Gabriel,Esteban,Campos,Miranda,992744124,gabriel.campos11@gmail.com,"Avenida Brasil 2942, Talcahuano",21,3200000
18557142-4,Sofía,Antonio,Silva,Molina,936257454,sofia.silva12@uandresbello.edu,"Maipú 952, Valparaíso",43,5600000
17830602-2,Pamela,Antonio,Cáceres,Carrasco,978190730,pamela.caceres13@uandresbello.edu,"San Diego 562, Hualpén",35,800000
16938777-K,Agustín,,Saavedra,Rojas,973763452,agustin.saavedra14@outlook.com,"Irarrázaval 3435, Chiguayante",53,3100000
20758744-3,Martina,Isabel,Campos,Rivera,948331028,martina.campos15@hotmail.com,"Maipú 2885, Hualpén",52,600000
19444591-1,Sebastián,Alejandro,Saavedra,Araya,999267808,sebastian.saavedra16@gmail.com,"Avenida Argentina 3772, Hualpén",34,7200000
19987555-8,Matías,Constanza,Soto,Molina,916177350,matias.soto17@gmail.com,"Paicaví 146, Santiago",54,6900000
24554357-3,Pamela,Eduardo,Silva,Castillo,936365828,pamela.silva18@gmail.com,"Avenida Colón 2158, Hualpén",52,1000000
24377264-8,Tomás,Francisca,Gutiérrez,Acosta,907598544,tomas.gutierrez19@gmail.com,"Maipú 1204, Santiago",23,5200000
18370856-2,Tomás,Macarena,Valdés,Medina,923652458,tomas.valdes20@uandresbello.edu,"Diagonal Oriente 1446, San Pedro de la Paz",34,700000
21467461-0,Bastián,Francisca,Silva,Acosta,919330672,bastian.silva21@hotmail.com,"Barros Arana 2606, San Pedro de la Paz",38,5300000
24010459-8,Carmen,Gabriel,Miranda,Contreras,932633275,carmen.miranda22@outlook.com,"Avenida Colón 3176, Santiago",33,2800000
25245932-4,Sofía,Gabriel,Soto,Rojas,959641958,sofia.soto23@hotmail.com,"Maipú 3253, Santiago",41,4400000
19899193-7,Cristóbal,Esteban,Figueroa,Vera,934916655,cristobal.figueroa24@outlook.com,"Janequeo 1248, Valparaíso",59,7200000
23306604-4,Pamela,Catalina,Soto,González,965780193,pamela.soto25@hotmail.com,"Caupolicán 2442, San Pedro de la Paz",56,8100000
25802788-4,Isidora,Francisca,Fuentes,Pizarro,997710461,isidora.fuentes26@hotmail.com,"Barros Arana 1956, Viña del Mar",32,5500000
17178436-0,Florencia,Esteban,Cáceres,Vargas,933872619,florencia.caceres27@uandresbello.edu,"Los Aromos 3808, Chiguayante",27,6900000
16234177-4,Gabriel,Felipe,Saavedra,Silva,933340712,gabriel.saavedra28@gmail.com,"Maipú 3117, Chiguayante",42,4800000
18955096-0,Lucas,Constanza,Saavedra,Miranda,947413230,lucas.saavedra29@uandresbello.edu,"Freire 2218, Concepción",42,5700000
24274327-K,Catalina,Macarena,Gutiérrez,Silva,936304152,catalina.gutierrez30@gmail.com,"Freire 1734, San Pedro de la Paz",25,6000000
17976040-1,Pamela,Josefina,Vargas,Bravo,945237455,pamela.vargas31@outlook.com,"Maipú 1410, Viña del Mar",23,8500000
22723643-4,Matías,Ignacio,Gutiérrez,González,986796313,matias.gutierrez32@outlook.com,"Pedro de Valdivia 546, Valparaíso",46,8200000
19734689-2,Francisca,Eduardo,Cortés,Navarro,977863639,francisca.cortes33@uandresbello.edu,"Maipú 1617, Talcahuano",28,7500000
24802161-6,María,Antonio,Rivera,González,946228415,maria.rivera34@outlook.com,"Paicaví 1047, Santiago",28,6400000
23716605-1,Pablo,Alejandro,Valdés,Acosta,950196389,pablo.valdes35@uandresbello.edu,"Paicaví 765, Talcahuano",59,5400000
17577793-8,Gabriel,Esteban,Valdés,Tapia,915668539,gabriel.valdes36@uandresbello.edu,"Lincoyán 3744, Hualpén",60,4900000
19225496-5,Maximiliano,Eduardo,Morales,Rojas,935545728,maximiliano.morales37@uandresbello.edu,"O'Higgins 3393, Chiguayante",51,2800000
16193217-5,Rodrigo,Antonia,Muñoz,Carrasco,950156009,rodrigo.munoz38@outlook.com,"Janequeo 554, Concepción",53,4300000
18937245-0,Fernanda,Catalina,Silva,Bustos,943883794,fernanda.silva39@gmail.com,"Diagonal Oriente 624, Concepción",21,7700000
21789963-K,Pamela,Josefina,Navarro,Miranda,900272072,pamela.navarro40@uandresbello.edu,"Pedro de Valdivia 2707, Concepción",20,7800000
18449099-4,Gabriel,Esteban,Castillo,Bustos,996159630,gabriel.castillo41@outlook.com,"Paicaví 1342, San Pedro de la Paz",37,8500000
18292435-0,María,Tomás,Miranda,Contreras,983249169,maria.miranda42@outlook.com,"Los Aromos 3108, Chiguayante",26,1800000
18616089-4,Bastián,Ignacio,Henríquez,Leiva,964588180,bastian.henriquez43@uandresbello.edu,"Los Carrera 1183, Concepción",60,8400000
21218858-1,Diego,Alejandro,Navarro,Bravo,900172067,diego.navarro44@hotmail.com,"San Diego 284, Talcahuano",53,1400000
18228909-4,Sofía,Alejandra,Rojas,Vargas,947666604,sofia.rojas45@gmail.com,"Diagonal Oriente 1875, San Pedro de la Paz",38,7900000
17068618-7,Catalina,Josefina,Soto,Tapia,999807072,catalina.soto46@uandresbello.edu,"Caupolicán 1883, Talcahuano",18,7000000
21736445-0,Agustín,,Lagos,Soto,966025269,agustin.lagos47@outlook.com,"Paicaví 1216, Chiguayante",60,1500000
22876299-7,Isidora,Paz,Ortiz,Miranda,918830225,isidora.ortiz48@uandresbello.edu,"Caupolicán 399, Chiguayante",28,4100000
22408490-0,Ignacia,Andrea,Molina,Campos,968784038,ignacia.molina49@uandresbello.edu,"Los Notros 3486, Valparaíso",52,6800000
23200078-3,Ignacia,,Cáceres,Aguilera,992928554,ignacia.caceres50@gmail.com,"Los Aromos 3289, Valparaíso",21,4100000
23106250-5,Lucas,Antonia,Lagos,Cortés,955478577,lucas.lagos51@uandresbello.edu,"Barros Arana 2613, Viña del Mar",23,6800000
21802442-4,Carmen,María,Navarro,Rojas,914090230,carmen.navarro52@gmail.com,"Vicuña Mackenna 380, Valparaíso",20,2600000
17923456-4,Ignacia,Esteban,Sepulveda,Ortiz,993039240,ignacia.sepulveda53@hotmail.com,"Lincoyán 2500, San Pedro de la Paz",22,800000
25228663-2,Josefa,Catalina,Araya,Contreras,954082599,josefa.araya54@gmail.com,"Avenida Argentina 2065, Viña del Mar",18,2700000
17677253-0,Gabriel,Catalina,Acosta,Tapia,976754096,gabriel.acosta55@gmail.com,"Freire 1073, Chiguayante",65,7100000
19817238-3,Martín,Eduardo,Morales,Fuentes,948113115,martin.morales56@uandresbello.edu,"Lincoyán 3910, Hualpén",35,2900000
19249463-K,Nicolás,Javier,Cortés,Soto,948513540,nicolas.cortes57@gmail.com,"Avenida Argentina 3974, Concepción",48,6300000
18441964-5,Isidora,Javier,Torres,Sepulveda,973418391,isidora.torres58@gmail.com,"Janequeo 2015, Chiguayante",36,3500000
20507260-8,Matías,Javier,Leiva,Cáceres,999700696,matias.leiva59@uandresbello.edu,"Natanael Cox 279, Valparaíso",21,3900000
16127493-3,Carmen,Antonio,Muñoz,Lagos,934166691,carmen.munoz60@outlook.com,"Rengo 1575, Talcahuano",32,1800000
21367365-3,Andrés,Sebastián,Lagos,Henríquez,909057262,andres.lagos61@gmail.com,"Eyzaguirre 149, Talcahuano",31,5400000
17407439-9,Martina,Matías,Soto,Cáceres,986839420,martina.soto62@gmail.com,"Natanael Cox 3775, Viña del Mar",26,7300000
22616123-6,Fernanda,Javier,Castillo,Gutiérrez,916017472,fernanda.castillo63@uandresbello.edu,"Los Aromos 3798, Valparaíso",50,3800000
24525821-6,Martín,Josefina,Sepulveda,Fuentes,914526422,martin.sepulveda64@gmail.com,"Avenida Colón 3964, San Pedro de la Paz",29,8000000
24699727-6,Josefa,Tomás,Acosta,González,937137791,josefa.acosta65@hotmail.com,"Los Aromos 3081, Viña del Mar",24,5000000
22072945-1,Tomás,Matías,Flores,Ortiz,902551782,tomas.flores66@outlook.com,"Los Notros 1016, Valparaíso",34,4400000
24369460-4,Gabriel,María,Cáceres,González,965017853,gabriel.caceres67@gmail.com,"Eyzaguirre 1874, Concepción",31,5700000
